title,cwe,description,cvss_v4,cvss_v4_score,cvss_v4_severity,finding,kind,where,snippet,method
262. Insecure encryption algorithm - SHA1,CWE-328,El servidor donde se almacena la aplicación soporta cifrados inseguros - SHA1 en wackopicko/website/include/users.php,CVSS:4.0/AV:A/AC:H/AT:N/PR:N/UI:P/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,0.5,Low,https://db.fluidattacks.com/wek/262,SAST,99,"
   85 |    function check_login($username, $pass, $vuln = False)
   86 |    {
   87 |       if ($vuln)
   88 |       {
   89 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   90 |                     $username,
   91 |                     mysql_real_escape_string($pass));
   92 |       }
   93 |       else
   94 |       {
   95 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   96 |                     mysql_real_escape_string($username),
   97 |                     mysql_real_escape_string($pass));
   98 |       }
>  99 |       $res = mysql_query($query);
  100 |       if ($res)
  101 |       {
  102 |   return mysql_fetch_assoc($res);
  103 |       }
  104 |       else
  105 |       {
  106 |   if ($vuln)
  107 |   {
  108 |      die(mysql_error());
  109 |   }
  110 |   else
  111 |   {
  112 |      return False;
  113 |   }
  114 |       }
  115 |    }
      ^ Col 0
",php.mysql.f262.insecure_sha1_in_query
362. Technical information leak - Content response,CWE-497,Es posible obtener información técnica de la aplicación en wackopicko/website/include/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.7,Low,https://db.fluidattacks.com/wek/362,SAST,3,"
  1 | <?php
  2 | require_once(""users.php"");
> 3 | phpinfo();
  4 | $res = Users::get_user(3);
  5 | print_r($res);
  6 | ?>
    ^ Col 0
",php.general.f362.phpinfo_information_leak
405. Excessive privileges - Access Mode,CWE-732,Los archivos o directorios del sistema tienen un modo de acceso demasiado permisivo en wackopicko/website/pictures/upload.php,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:U,1.2,Low,https://db.fluidattacks.com/wek/405,SAST,27,"
  17 |    {
  18 |       $flash['error'] = ""Must include all fields"";
  19 |    }
  20 |    else
  21 |    {
  22 |       $_POST['name'] = str_replace("".."", """", $_POST['name']);
  23 |       $_POST['name'] = str_replace("" "", """", $_POST['name']);
  24 |       $_POST['name'] = str_replace(""/"", """", $_POST['name']);
  25 |       if (!file_exists(""../upload/{$_POST['tag']}/""))
  26 |       {
> 27 |   mkdir(""../upload/{$_POST['tag']}"", 0777, True);
  28 |       }
  29 |       $filename = ""../upload/{$_POST['tag']}/{$_POST['name']}"";
  30 |       $relfilename = ""{$_POST['tag']}/{$_POST['name']}"";
  31 |       if ($_POST['price'] < 0)
  32 |       {
  33 |   $_POST['price'] = abs($_POST['price']);
  34 |       }
  35 |       if (file_exists($filename))
  36 |       {
  37 |   $new_name = tempnam(""../upload"", $filename);
     ^ Col 0
",php.general.f405.excessive_access_mode
004. Remote command execution,CWE-78,El sistema ejecuta comandos compuestos con entradas provenientes de fuentes externas sin una validación adecuada en wackopicko/website/users/check_pass.php,CVSS:4.0/AV:N/AC:L/PR:N/UI:N/AT:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L/E:U,8.1,High,https://db.fluidattacks.com/wek/004,SAST,11,"
   1 | <?php
   2 | require_once(""../include/html_functions.php"");
   3 |
   4 | if (!isset($_GET[""password""])) // ?password=blah
   5 | {
   6 |    error_404();
   7 | }
   8 | $pass = $_GET[""password""];
   9 |
  10 |
> 11 | exec(""/bin/cat /usr/share/dict/words | grep "" . $pass, $output, $status);
  12 |
  13 | if ($status == 0)
  14 | {
  15 |    $strong = False;
  16 | }
  17 | else
  18 | {
  19 |    $string = True;
  20 | }
  21 |
     ^ Col 0
",php.general.f004.command_injection_in_exec_functions
008. Reflected cross-site scripting (XSS),CWE-79,La aplicación web genera contenido dinámico sin validar la fuente de datos potencialmente inseguros en wackopicko/website/piccheck.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,Medium,https://db.fluidattacks.com/wek/008,SAST,20,"
   7 |    http_redirect(""/"");
   8 | }
   9 |
  10 |
  11 | $type = $_FILES['userfile']['type'];
  12 | $name = $_POST['name'];
  13 |
  14 | ?>
  15 |
  16 | <?php our_header(""home""); ?>
  17 |
  18 |
  19 | <div class=""column prepend-1 span-24 first last"">
> 20 |   <h2>Checking your file <?= $name ?></h2>
  21 |   <p>
  22 |     File is O.K. to upload!
  23 |   </p>
  24 | </div>
  25 |
  26 |
  27 | <?php our_footer(); ?>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,La aplicación web genera contenido dinámico sin validar la fuente de datos potencialmente inseguros en wackopicko/website/pictures/search.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,Medium,https://db.fluidattacks.com/wek/008,SAST,22,"
   9 |
  10 | if (!isset($_GET['query']))
  11 | {
  12 |    http_redirect(""/error.php?msg=Error, need to provide a query to search"");
  13 | }
  14 |
  15 | $pictures = Pictures::get_all_pictures_by_tag($_GET['query']);
  16 |
  17 | ?>
  18 |
  19 | <?php our_header("""", $_GET['query']); ?>
  20 |
  21 | <div class=""column prepend-1 span-24 first last"">
> 22 | <h2>Pictures that are tagged as '<?= $_GET['query']  ?>'</h2>
  23 |
  24 |    <?php thumbnail_pic_list($pictures); ?>
  25 |
  26 | </div>
  27 |
  28 |
  29 | <?php our_footer(); ?>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,La aplicación web genera contenido dinámico sin validar la fuente de datos potencialmente inseguros en wackopicko/website/submitname.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,Medium,https://db.fluidattacks.com/wek/008,SAST,19,"
   3 | require_once(""include/users.php"");
   4 | session_start();
   5 | require_login();
   6 |
   7 | if (!isset($_GET['value']))
   8 | {
   9 |    http_redirect(Users::$HOME_URL);
  10 | }
  11 |
  12 |
  13 | ?>
  14 |
  15 | <?php our_header(""home""); ?>
  16 |
  17 | <div class=""column prepend-1 span-24 first last"">
  18 |   <p>
> 19 |     Your favorite color is <?= $_GET['value'] ?>! and you've been entered in our contest!
  20 |   </p>
  21 | </div>
  22 |
  23 | <?php our_footer(); ?>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,La aplicación web genera contenido dinámico sin validar la fuente de datos potencialmente inseguros en wackopicko/website/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,Medium,https://db.fluidattacks.com/wek/008,SAST,12,"
   1 | <?php
   2 | $head = $_GET['head'];
   3 | $title = $_GET['title'];
   4 | $href = $_GET['href'];
   5 | $script = $_GET['script'];
   6 | ?>
   7 | <html>
   8 | <head><?php echo $head; ?> <title><?php echo $title; ?></title></head>
   9 | <body>
  10 | <a href=""http://<?php echo $href; ?>"">text</a>
  11 | <script>
> 12 |    <?php echo $script; ?>
  13 | </script>
  14 | <frameset>
  15 |
  16 | </frameset>
  17 | </body>
  18 | </html>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,La aplicación web genera contenido dinámico sin validar la fuente de datos potencialmente inseguros en wackopicko/website/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,Medium,https://db.fluidattacks.com/wek/008,SAST,10,"
   1 | <?php
   2 | $head = $_GET['head'];
   3 | $title = $_GET['title'];
   4 | $href = $_GET['href'];
   5 | $script = $_GET['script'];
   6 | ?>
   7 | <html>
   8 | <head><?php echo $head; ?> <title><?php echo $title; ?></title></head>
   9 | <body>
> 10 | <a href=""http://<?php echo $href; ?>"">text</a>
  11 | <script>
  12 |    <?php echo $script; ?>
  13 | </script>
  14 | <frameset>
  15 |
  16 | </frameset>
  17 | </body>
  18 | </html>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
008. Reflected cross-site scripting (XSS),CWE-79,La aplicación web genera contenido dinámico sin validar la fuente de datos potencialmente inseguros en wackopicko/website/test.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L/E:U,4.8,Medium,https://db.fluidattacks.com/wek/008,SAST,8,"
   1 | <?php
   2 | $head = $_GET['head'];
   3 | $title = $_GET['title'];
   4 | $href = $_GET['href'];
   5 | $script = $_GET['script'];
   6 | ?>
   7 | <html>
>  8 | <head><?php echo $head; ?> <title><?php echo $title; ?></title></head>
   9 | <body>
  10 | <a href=""http://<?php echo $href; ?>"">text</a>
  11 | <script>
  12 |    <?php echo $script; ?>
  13 | </script>
  14 | <frameset>
  15 |
  16 | </frameset>
  17 | </body>
  18 | </html>
     ^ Col 0
",php.general.f008.reflected_xss_unsanitized_echo
Summary: 20 vulnerabilities were found in your targets.
